descriptor,FPR95,MMA@1px,MMA@2px,MMA@3px,MMA@4px,MMA@5px,Retrieval_mAP,Speed_ms,n_kps
SIFT,0.1,0.6230678313811131,0.6827702241508078,0.6942056023521181,0.7195553097554288,0.7336888170396211,0.3333333333333333,136.27431995701045,503.0
ORB,0.7777777777777778,0.4442857142857143,0.562857142857143,0.6154761904761904,0.6288095238095238,0.6697619047619048,0.3,73.18684000056237,500.0
BRISK,0.8983050847457628,0.5345505852156732,0.6984583029730138,0.7536103507355404,0.765601117916199,0.7675428654890145,0.16666666666666666,286.67536000721157,7564.0
LATCH,0.7664233576642335,0.2710249179169776,0.7252515220183323,0.8930286914454204,0.9525154484582901,0.991248073777753,0.5,372.91794002521783,8360.0
LIFT,0.6266666666666667,0.8168840579710146,0.8255797101449275,0.8255797101449275,0.8342753623188406,0.856497584541063,0.26666666666666666,433.7836599675939,503.0
