sequence,pair,type,num_kpts_ref,num_kpts_tgt,num_matches,mma@1px,mma@2px,mma@3px,mma@4px,mma@5px,mma@6px,mma@7px,mma@8px,mma@9px,mma@10px
i_ajuntament,1-2,illumination,2048,2048,1419,0.5961945031712473,0.7751937984496124,0.8534178999295279,0.8914728682170543,0.9119097956307258,0.919661733615222,0.9245947850599013,0.9281183932346723,0.9330514446793516,0.9358703312191684
i_ajuntament,1-3,illumination,2048,2048,1018,0.28487229862475444,0.44204322200392926,0.5697445972495089,0.6394891944990176,0.6886051080550099,0.7092337917485265,0.7200392927308448,0.731827111984283,0.7387033398821218,0.7426326129666012
i_ajuntament,1-4,illumination,2048,2048,805,0.14906832298136646,0.22732919254658385,0.2968944099378882,0.3316770186335404,0.368944099378882,0.38509316770186336,0.3950310559006211,0.4111801242236025,0.42732919254658386,0.43975155279503103
i_ajuntament,1-5,illumination,2048,2048,783,0.1545338441890166,0.22349936143039592,0.2962962962962963,0.3231162196679438,0.34610472541507026,0.35759897828863346,0.3652618135376756,0.3831417624521073,0.3946360153256705,0.3997445721583653
i_ajuntament,1-6,illumination,2048,2048,792,0.17803030303030304,0.2727272727272727,0.33585858585858586,0.37247474747474746,0.41414141414141414,0.43308080808080807,0.4444444444444444,0.4633838383838384,0.4734848484848485,0.4810606060606061
i_autannes,1-2,illumination,2048,2048,1474,0.4633649932157395,0.7645861601085482,0.8561736770691994,0.898236092265943,0.9111261872455902,0.9219810040705563,0.937584803256445,0.9416553595658074,0.9484396200814111,0.9518317503392131
i_autannes,1-3,illumination,2048,2048,1363,0.3734409391049156,0.7013939838591343,0.7960381511371973,0.8672046955245781,0.8826118855465884,0.8921496698459281,0.9060895084372708,0.9141599413059428,0.9244314013206163,0.9295671313279531
i_autannes,1-4,illumination,2048,2048,1153,0.04423243712055507,0.21075455333911536,0.33738074588031225,0.5516045099739809,0.627059843885516,0.6704249783174328,0.7120555073720729,0.7215958369470945,0.7476149176062445,0.7571552471812663
i_autannes,1-5,illumination,2048,2048,1152,0.12760416666666666,0.3845486111111111,0.4973958333333333,0.6493055555555556,0.6796875,0.7005208333333334,0.7395833333333334,0.7491319444444444,0.765625,0.7682291666666666
i_autannes,1-6,illumination,2048,2048,1335,0.2606741573033708,0.5483146067415731,0.650936329588015,0.7460674157303371,0.7677902621722846,0.7842696629213484,0.8089887640449438,0.8119850187265918,0.8284644194756554,0.8337078651685393
i_bologna,1-2,illumination,2048,2048,1698,0.7220259128386337,0.8875147232037691,0.9587750294464076,0.9799764428739693,0.9870435806831567,0.9905771495877503,0.9905771495877503,0.9917550058892816,0.9923439340400471,0.9923439340400471
i_bologna,1-3,illumination,2048,2048,1632,0.6813725490196079,0.8609068627450981,0.9411764705882353,0.9650735294117647,0.9779411764705882,0.9834558823529411,0.9846813725490197,0.9871323529411765,0.9871323529411765,0.9877450980392157
i_bologna,1-4,illumination,2048,2048,1605,0.6616822429906543,0.8579439252336448,0.9383177570093458,0.9682242990654205,0.983177570093458,0.9862928348909658,0.9869158878504672,0.9875389408099688,0.9881619937694704,0.9887850467289719
i_bologna,1-5,illumination,2048,2048,1559,0.6330981398332264,0.8332264271969211,0.9127645926876202,0.9448364336112893,0.9640795381654907,0.9692110327132777,0.9737010904425915,0.9756254008980115,0.9801154586273252,0.9820397690827454
i_bologna,1-6,illumination,2048,2048,1559,0.5920461834509301,0.8120590121872996,0.9031430404105195,0.9377806286080821,0.9595894804361771,0.9660038486209108,0.9717767799871713,0.9749839640795381,0.9781911481719051,0.9781911481719051
i_books,1-2,illumination,2048,2048,1456,0.40453296703296704,0.7623626373626373,0.8592032967032966,0.9052197802197802,0.9196428571428571,0.929945054945055,0.9381868131868132,0.9429945054945055,0.9478021978021978,0.9491758241758241
i_books,1-3,illumination,2048,2048,1431,0.41579315164220826,0.7582110412299091,0.8399720475192173,0.8742138364779874,0.8979734451432565,0.909853249475891,0.9189378057302585,0.9259259259259259,0.9280223619846262,0.9343116701607268
i_books,1-4,illumination,2048,2048,1473,0.4392396469789545,0.7562797012898846,0.8492871690427699,0.8940936863543788,0.9198913781398507,0.9395790902919212,0.9477257298031229,0.9524779361846571,0.957909029192125,0.9633401221995926
i_books,1-5,illumination,2048,2048,1520,0.4361842105263158,0.7578947368421053,0.8467105263157895,0.8921052631578947,0.9190789473684211,0.9401315789473684,0.9473684210526315,0.9519736842105263,0.9539473684210527,0.9552631578947368
i_books,1-6,illumination,2048,2048,1497,0.43754175016700064,0.7548430193720775,0.8517034068136272,0.9011356045424181,0.9225116900467601,0.9345357381429525,0.9378757515030061,0.9392117568470274,0.9425517702070808,0.9452237808951236
i_boutique,1-2,illumination,2048,2048,1480,0.4871621621621622,0.8432432432432433,0.8986486486486487,0.9202702702702703,0.9317567567567567,0.9418918918918919,0.9554054054054054,0.9594594594594594,0.9621621621621622,0.9641891891891892
i_boutique,1-3,illumination,2048,2048,1340,0.3238805970149254,0.7380597014925373,0.8477611940298507,0.8835820895522388,0.9037313432835821,0.9134328358208955,0.9238805970149254,0.926865671641791,0.9298507462686567,0.9335820895522388
i_boutique,1-4,illumination,2048,2048,1391,0.34363767074047447,0.7455068296189792,0.8404025880661394,0.879942487419123,0.899352983465133,0.9086987778576564,0.9223580158159598,0.9273903666427031,0.9331416247304097,0.9352983465132998
i_boutique,1-5,illumination,2048,2048,1115,0.10672645739910314,0.39461883408071746,0.5847533632286995,0.7085201793721974,0.7632286995515695,0.7946188340807175,0.8071748878923767,0.8152466367713005,0.8233183856502242,0.831390134529148
i_boutique,1-6,illumination,2048,2048,1092,0.11721611721611722,0.42032967032967034,0.5915750915750916,0.6941391941391941,0.7454212454212454,0.7738095238095238,0.7857142857142857,0.7976190476190477,0.804945054945055,0.8076923076923077
i_bridger,1-2,illumination,2048,2048,1483,0.2677006068779501,0.6075522589345921,0.7167902899527984,0.8233310856372218,0.8617666891436278,0.8833445718138908,0.9109912339851652,0.9170600134861767,0.9372892784895482,0.942683749157114
i_bridger,1-3,illumination,2048,2048,1408,0.2606534090909091,0.5717329545454546,0.6796875,0.8053977272727273,0.8380681818181818,0.8636363636363636,0.890625,0.8991477272727273,0.9154829545454546,0.9225852272727273
i_bridger,1-4,illumination,2048,2048,1428,0.27871148459383754,0.6162464985994398,0.7275910364145658,0.8438375350140056,0.8697478991596639,0.8907563025210085,0.9180672268907563,0.9250700280112045,0.9397759103641457,0.9425770308123249
