type,mma@1px,mma@2px,mma@3px,mma@4px,mma@5px,mma@6px,mma@7px,mma@8px,mma@9px,mma@10px
illumination,0.33916519774629156,0.5863995727524132,0.6980107462273895,0.7692207320392924,0.806442847550203,0.831190177845971,0.845977598196127,0.85473289636133,0.866309525803302,0.8724102723460205
viewpoint,0.22310537146765774,0.49081305347260146,0.6253427688924342,0.688317834801,0.720308867378005,0.7389892983438977,0.7509636288246425,0.7592057307891299,0.7649702059196904,0.7692662292675546
overall,0.28013476886319333,0.5377822913945779,0.6610503094794381,0.7280718446508505,0.7626333231522747,0.784294902926813,0.7976515275675271,0.8061458035271938,0.8147662510349133,0.8199490780216284
