descriptor,FPR95,MMA@1px,MMA@2px,MMA@3px,MMA@4px,MMA@5px,Retrieval_mAP,Speed_ms,n_kps
SIFT,0.07400000000000002,0.5512732556362409,0.6293938479355085,0.661613198096648,0.6905604284380558,0.7007864983565759,0.49,171.86751199808592,492.56666666666666
ORB,0.2652533631236441,0.42015216980534903,0.58040640086632,0.6661716687654136,0.703843262204925,0.7259835617515111,0.55,12.357979333416248,498.5
BRISK,0.5866985369638852,0.5724135287900473,0.7268626577795566,0.7859559853301533,0.8230906642968614,0.8404105757528113,0.5366666666666666,72.5184893332577,5146.0
LATCH,0.2855146671938467,0.37847707805493574,0.7133774126632539,0.8424956867267137,0.8975522600309521,0.9300070561355425,0.7744444444444444,127.78148933430202,5835.0
LIFT,0.3855555555555556,0.5767540030465422,0.6421831807789907,0.6660328688054006,0.688271841342019,0.6947896402536665,0.4122222222222222,174.40271999415322,492.56666666666666
